Timestamp,note,pizza,drink,call,shower,Now you are in your bed. What is your most comfortable sleeping position?
2023/11/14 5:31:37 pm GMT,Take notes with pen and paper,Pepperoni,Beer,Your friend,Your face,On your side
2023/11/14 5:34:10 pm GMT,"Just listen, not take notes",Funghi (Mushroom),Water,Your partner,Your face,On your side
2023/11/14 5:34:56 pm GMT,"Just listen, not take notes","Simple is the best. Margherita (Tomato sauce, mozzarella cheese, basil)",Water,Your friend,Your face,On your back
2023/11/14 5:50:58 pm GMT,Take notes with pen and paper,Hawaiian (Pineapple),Coke,Your partner,Your hair,On your back
2023/11/14 7:31:30 pm GMT,Take notes on your computer,Garden (Vegetable),Water,Your partner,Your face,On your side
2023/11/14 10:59:59 pm GMT,Take notes on your computer,"Simple is the best. Margherita (Tomato sauce, mozzarella cheese, basil)",Wine,Your friend,Your body,On your side
2023/11/15 10:33:40 am GMT,Take notes with pen and paper,Pepperoni,Coke,Your friend,Your body,On your side
2023/11/15 12:40:08 pm GMT,Take notes with pen and paper,Hawaiian (Pineapple),Coffee,Your friend,Your hair,On your side
2023/11/15 1:42:36 pm GMT,Take notes with pen and paper,Hawaiian (Pineapple),Coke,Your partner,Your hair,Hugging something
2023/11/15 2:35:18 pm GMT,Take notes on your computer,Garden (Vegetable),Water,Your partner,Your body,On your side
2023/11/15 3:01:45 pm GMT,Take notes on your computer,Pepperoni,Coke,Your friend,Your body,On your side
2023/11/15 3:08:45 pm GMT,Take notes on your computer,Pepperoni,Water,Your friend,Your hair,Hugging something
2023/11/15 7:57:27 pm GMT,"Just listen, not take notes",Hawaiian (Pineapple),Coke,Your friend,Your face,Hugging something
2023/11/16 1:00:31 pm GMT,"Just listen, not take notes",Hawaiian (Pineapple),Coke,Your friend,Your hair,On your side
